"account_id","customer_id","product_id","account_number","join_date","maturity_date","contract_months","deposit_amount","monthly_amount","current_balance","account_status","applied_rate","created_at"
583,9,5,"280-910044-00583",2021-04-04,2022-04-04,12,,300000,3600000,MATURED,4.42,2025-05-18
582,9,5,"280-910044-00582",2026-03-30,2027-03-30,12,,300000,300000,ACTIVE,4.38,2011-05-22
581,9,5,"280-910044-00581",2021-03-23,2022-03-23,12,,300000,3600000,MATURED,2.33,2004-05-23
4,10,9,"280-910044-00004",2024-05-18,2024-11-18,6,,214769,1288614,MATURED,2.61,2024-05-18
3,10,9,"280-910044-00003",2024-05-18,2026-03-18,22,,781556,17194232,MATURED,2.69,2024-05-18
2,10,9,"280-910044-00002",2024-05-18,2026-11-18,30,,101991,2447784,ACTIVE,2.64,2024-05-18
24,11,2,"280-910044-00024",2018-06-03,2019-09-03,15,,200000,3000000,MATURED,4.81,2023-05-19
48,12,1,"280-910044-00048",2016-12-26,2018-08-26,20,20331533,,20331533,MATURED,1.98,2013-05-21
47,12,1,"280-910044-00047",2024-03-11,2024-08-11,5,31941173,,31941173,MATURED,2.04,2017-05-20
77,13,3,"280-910044-00077",2025-06-04,2028-03-04,33,,252902,2781922,ACTIVE,2.56,2003-05-24
76,13,3,"280-910044-00076",2016-09-28,2018-09-28,24,,357007,8568168,MATURED,1.87,2015-05-21
102,14,1,"280-910044-00102",2025-01-13,2025-12-13,11,4991852,,4991852,MATURED,1.94,2022-05-19
122,15,4,"280-910044-00122",2023-08-03,2029-06-03,70,,732090,24158970,ACTIVE,2.92,2014-05-21
144,16,4,"280-910044-00144",2021-05-27,2026-07-27,62,,905797,54347820,ACTIVE,2.51,2016-05-20
166,17,8,"280-910044-00166",2019-05-20,2022-05-20,36,,130692,4704912,MATURED,5.90,2019-05-20
165,17,8,"280-910044-00165",2023-07-03,2026-07-03,36,,300000,10500000,ACTIVE,5.86,2019-05-20
187,18,8,"280-910044-00187",2024-02-07,2027-02-07,36,,300000,8100000,ACTIVE,5.51,2014-05-21
206,19,10,"280-910044-00206",2021-05-19,2026-02-19,57,13074466,,13074466,MATURED,1.54,2022-05-19
205,19,10,"280-910044-00205",2025-06-30,2025-10-30,4,27979509,,27979509,MATURED,1.85,2021-05-19
229,20,3,"280-910044-00229",2022-04-24,2028-02-24,70,,312207,15298143,ACTIVE,2.03,2023-05-19
228,20,3,"280-910044-00228",2017-02-11,2020-09-11,43,,211325,9086975,MATURED,1.93,2016-05-20
227,20,3,"280-910044-00227",2020-05-03,2024-09-03,52,,421365,21910980,MATURED,2.31,2022-05-19
252,21,2,"280-910044-00252",2024-09-11,2026-11-11,26,,200000,4000000,ACTIVE,3.75,2015-05-21
251,21,2,"280-910044-00251",2022-01-14,2025-07-14,42,,200000,8400000,MATURED,3.99,2016-05-20
250,21,2,"280-910044-00250",2020-06-23,2024-01-23,43,,200000,8600000,MATURED,3.78,2016-05-20
279,22,9,"280-910044-00279",2017-08-11,2018-09-11,13,,965764,12554932,MATURED,2.60,2024-05-18
278,22,9,"280-910044-00278",2019-09-29,2020-07-29,10,,120954,1209540,MATURED,2.37,2012-05-21
298,23,7,"280-910044-00298",2024-03-23,2025-06-23,15,,300000,4500000,MATURED,6.38,2008-05-22
297,23,7,"280-910044-00297",2018-09-28,2020-07-28,22,,300000,6600000,MATURED,5.52,2008-05-22
320,24,5,"280-910044-00320",2018-05-20,2019-05-20,12,,257076,3084912,MATURED,2.32,2018-05-20
319,24,5,"280-910044-00319",2018-05-20,2019-05-20,12,,300000,3600000,MATURED,3.78,2020-05-19
318,24,5,"280-910044-00318",2025-04-06,2026-04-06,12,,300000,3600000,MATURED,3.88,2021-05-19
342,25,8,"280-910044-00342",2025-05-18,2028-05-18,36,,300000,3600000,ACTIVE,5.68,2025-05-18
341,25,8,"280-910044-00341",2025-05-18,2028-05-18,36,,300000,3600000,ACTIVE,5.78,2025-05-18
364,26,4,"280-910044-00364",2018-12-02,2024-09-02,69,,326557,22532433,MATURED,2.32,2018-05-20
390,27,7,"280-910044-00390",2023-05-19,2025-05-19,24,,300000,7200000,MATURED,7.34,2023-05-19
389,27,7,"280-910044-00389",2024-12-02,2026-06-02,18,,214003,3638051,ACTIVE,10.33,2023-05-19
411,28,6,"280-910044-00411",2024-03-03,2026-10-03,31,,479968,12479168,ACTIVE,3.68,2017-05-20
410,28,6,"280-910044-00410",2020-01-03,2022-05-03,28,,174835,4895380,MATURED,3.11,2012-05-21
427,29,5,"280-910044-00427",2022-10-01,2023-10-01,12,,300000,3600000,MATURED,3.65,2017-05-20
456,30,4,"280-910044-00456",2025-05-18,2029-05-18,48,,844050,10128600,ACTIVE,2.41,2025-05-18
455,30,4,"280-910044-00455",2025-05-18,2030-08-18,63,,725152,8701824,ACTIVE,3.11,2025-05-18
461,31,4,"280-910044-00461",2022-01-07,2027-05-07,64,,264345,14010285,ACTIVE,2.38,2021-05-19
460,31,4,"280-910044-00460",2021-05-19,2024-09-19,40,,489469,19578760,MATURED,3.05,2021-05-19
459,31,4,"280-910044-00459",2025-03-04,2026-04-04,13,,287875,3742375,MATURED,2.16,2021-05-19
462,32,2,"280-910044-00462",2022-07-14,2025-07-14,36,,178625,6430500,MATURED,4.20,2010-05-22
464,33,4,"280-910044-00464",2021-05-19,2025-12-19,55,,120535,6629425,MATURED,2.67,2021-05-19
463,33,4,"280-910044-00463",2021-09-01,2025-11-01,50,,99524,4976200,MATURED,3.02,2021-05-19
466,34,4,"280-910044-00466",2023-02-03,2026-01-03,35,,589407,20629245,MATURED,2.26,2013-05-21
465,34,4,"280-910044-00465",2019-03-25,2021-05-25,26,,428975,11153350,MATURED,3.09,2017-05-20
469,35,2,"280-910044-00469",2025-04-10,2027-04-10,24,,200000,2600000,ACTIVE,3.84,2010-05-22
468,35,2,"280-910044-00468",2021-12-24,2023-10-24,22,,200000,4400000,MATURED,4.37,2010-05-22
467,35,2,"280-910044-00467",2019-07-25,2023-04-25,45,,200000,9000000,MATURED,4.56,2025-05-18
472,36,10,"280-910044-00472",2024-12-07,2027-10-07,34,3611708,,3611708,ACTIVE,1.72,2012-05-21
471,36,10,"280-910044-00471",2023-09-11,2027-09-11,48,42012469,,42012469,ACTIVE,2.03,2017-05-20
470,36,10,"280-910044-00470",2017-02-01,2019-09-01,31,29476874,,29476874,MATURED,2.20,2012-05-21
474,37,8,"280-910044-00474",2021-09-18,2024-09-18,36,,133784,4816224,MATURED,5.70,2020-05-19
473,37,8,"280-910044-00473",2020-05-19,2023-05-19,36,,300000,10800000,MATURED,5.90,2020-05-19
477,38,3,"280-910044-00477",2023-09-10,2026-07-10,34,,363492,11631744,ACTIVE,3.16,2022-05-19
476,38,3,"280-910044-00476",2022-05-19,2023-10-19,17,,956092,16253564,MATURED,3.07,2022-05-19
475,38,3,"280-910044-00475",2023-05-08,2027-02-08,45,,536617,19318212,ACTIVE,3.22,2022-05-19
478,39,8,"280-910044-00478",2024-06-09,2027-06-09,36,,300000,6900000,ACTIVE,5.52,2009-05-22
483,40,3,"280-910044-00483",2020-01-11,2021-09-11,20,,704341,14086820,MATURED,1.69,2016-05-20
484,41,8,"280-910044-00484",2020-11-22,2023-11-22,36,,283995,10223820,MATURED,5.76,2025-05-18
486,42,7,"280-910044-00486",2022-05-19,2024-03-19,22,,112141,2467102,MATURED,8.24,2022-05-19
485,42,7,"280-910044-00485",2022-05-19,2022-10-19,5,,300000,1500000,MATURED,8.62,2022-05-19
488,43,3,"280-910044-00488",2023-10-04,2027-10-04,48,,371898,11528838,ACTIVE,2.50,2025-05-18
487,43,3,"280-910044-00487",2023-12-18,2025-12-18,24,,145410,3489840,MATURED,2.23,2022-05-19
489,44,8,"280-910044-00489",2021-11-10,2024-11-10,36,,300000,10800000,MATURED,5.88,2016-05-20
492,45,3,"280-910044-00492",2023-10-01,2026-12-01,38,,678307,21705824,ACTIVE,1.69,2013-05-21
491,45,3,"280-910044-00491",2019-03-01,2023-02-01,47,,571273,26849831,MATURED,1.85,2020-05-19
490,45,3,"280-910044-00490",2024-10-02,2030-09-02,71,,220641,4192179,CLOSED,3.27,2013-05-21
495,46,3,"280-910044-00495",2025-05-18,2029-12-18,55,,56336,676032,ACTIVE,2.27,2025-05-18
494,46,3,"280-910044-00494",2025-05-18,2029-06-18,49,,23570,282840,ACTIVE,2.53,2025-05-18
493,46,3,"280-910044-00493",2025-05-18,2029-01-18,44,,26115,313380,ACTIVE,1.70,2025-05-18
496,47,9,"280-910044-00496",2025-07-06,2026-03-06,8,,122793,982344,MATURED,2.32,2019-05-20
497,48,3,"280-910044-00497",2022-02-10,2023-10-10,20,,374283,7485660,MATURED,2.38,2013-05-21
498,49,5,"280-910044-00498",2023-05-19,2024-05-19,12,,300000,3600000,MATURED,2.98,2023-05-19
503,50,10,"280-910044-00503",2023-12-22,2027-10-22,46,42939755,,42939755,ACTIVE,1.44,2009-05-22
502,50,10,"280-910044-00502",2024-08-21,2024-09-21,1,31808566,,31808566,MATURED,1.58,2008-05-22
504,51,6,"280-910044-00504",2023-06-02,2025-06-02,24,,500000,12000000,MATURED,2.96,2004-05-23
506,52,8,"280-910044-00506",2025-10-30,2028-10-30,36,,300000,1800000,ACTIVE,5.63,2025-05-18
505,52,8,"280-910044-00505",2025-05-18,2028-05-18,36,,261545,3138540,ACTIVE,5.76,2025-05-18
509,53,2,"280-910044-00509",2023-05-19,2026-07-19,38,,200000,7200000,ACTIVE,3.63,2023-05-19
508,53,2,"280-910044-00508",2023-05-19,2027-12-19,55,,200000,7200000,CLOSED,4.87,2023-05-19
507,53,2,"280-910044-00507",2023-05-19,2027-04-19,47,,200000,7200000,ACTIVE,4.13,2023-05-19
512,54,8,"280-910044-00512",2025-05-18,2028-05-18,36,,253883,3046596,ACTIVE,5.53,2025-05-18
511,54,8,"280-910044-00511",2025-07-09,2028-07-09,36,,300000,3000000,ACTIVE,5.97,2025-05-18
510,54,8,"280-910044-00510",2025-05-18,2028-05-18,36,,300000,3600000,ACTIVE,5.91,2025-05-18
514,55,10,"280-910044-00514",2021-05-19,2022-10-19,17,15938131,,15938131,MATURED,1.50,2021-05-19
513,55,10,"280-910044-00513",2021-05-19,2023-05-19,24,38804187,,38804187,MATURED,1.64,2021-05-19
516,56,9,"280-910044-00516",2023-02-05,2026-02-05,36,,248356,8940816,MATURED,2.54,2022-05-19
515,56,9,"280-910044-00515",2022-05-19,2022-12-19,7,,66446,465122,MATURED,2.56,2022-05-19
517,57,2,"280-910044-00517",2019-07-05,2023-05-05,46,,200000,9200000,MATURED,4.01,2014-05-21
518,58,10,"280-910044-00518",2025-01-26,2028-04-26,39,16156005,,16156005,ACTIVE,1.86,2021-05-19
521,59,1,"280-910044-00521",2022-11-26,2025-10-26,35,33808277,,33808277,MATURED,2.08,2009-05-22
520,59,1,"280-910044-00520",2019-08-20,2021-02-20,18,12686400,,12686400,MATURED,2.10,2018-05-20
519,59,1,"280-910044-00519",2024-09-30,2026-03-30,18,37781001,,37781001,MATURED,1.83,2009-05-22
526,60,8,"280-910044-00526",2020-07-30,2023-07-30,36,,300000,10800000,MATURED,5.89,2020-05-19
525,60,8,"280-910044-00525",2020-04-04,2023-04-04,36,,300000,10800000,MATURED,5.70,2018-05-20
524,60,8,"280-910044-00524",2018-05-20,2021-05-20,36,,179742,6470712,MATURED,5.83,2022-05-19
527,61,1,"280-910044-00527",2020-05-19,2021-05-19,12,21327843,,21327843,MATURED,1.99,2020-05-19
528,62,10,"280-910044-00528",2024-05-18,2024-09-18,4,45767279,,45767279,MATURED,1.56,2024-05-18
530,63,7,"280-910044-00530",2023-05-19,2024-02-19,9,,65343,588087,MATURED,7.13,2024-05-18
529,63,7,"280-910044-00529",2023-05-19,2025-04-19,23,,19668,452364,MATURED,5.09,2024-05-18
531,64,2,"280-910044-00531",2022-05-19,2026-07-19,50,,200000,9600000,ACTIVE,3.68,2022-05-19
533,65,6,"280-910044-00533",2020-05-19,2021-07-19,14,,485035,6790490,MATURED,2.12,2020-05-19
532,65,6,"280-910044-00532",2020-05-19,2021-06-19,13,,500000,6500000,MATURED,1.55,2020-05-19
535,66,8,"280-910044-00535",2024-11-16,2027-11-16,36,,300000,5400000,ACTIVE,5.71,2022-05-19
534,66,8,"280-910044-00534",2022-05-19,2025-05-19,36,,300000,10800000,MATURED,5.86,2023-05-19
536,67,10,"280-910044-00536",2022-04-09,2026-08-09,52,11140882,,11140882,ACTIVE,2.14,2025-05-18
537,68,1,"280-910044-00537",2019-11-10,2020-02-10,3,48539412,,48539412,MATURED,1.96,2025-05-18
539,69,5,"280-910044-00539",2025-02-01,2026-02-01,12,,189869,2278428,MATURED,3.45,2025-05-18
538,69,5,"280-910044-00538",2018-02-24,2019-02-24,12,,191945,2303340,MATURED,2.64,2017-05-20
542,70,7,"280-910044-00542",2022-06-26,2024-04-26,22,,233468,5136296,MATURED,7.64,2025-05-18
543,71,7,"280-910044-00543",2024-05-18,2025-07-18,14,,258801,3623214,MATURED,5.62,2024-05-18
546,72,7,"280-910044-00546",2022-07-20,2022-11-20,4,,300000,1200000,MATURED,4.80,2012-05-21
545,72,7,"280-910044-00545",2022-09-21,2024-09-21,24,,300000,7200000,MATURED,8.27,2020-05-19
544,72,7,"280-910044-00544",2019-04-16,2021-04-16,24,,300000,7200000,MATURED,6.69,2012-05-21
548,73,3,"280-910044-00548",2025-05-25,2027-06-25,25,,367777,4045547,ACTIVE,1.51,2023-05-19
547,73,3,"280-910044-00547",2023-05-19,2026-11-19,42,,461391,16610076,CLOSED,2.26,2023-05-19
550,74,10,"280-910044-00550",2023-02-24,2024-10-24,20,28661688,,28661688,MATURED,2.01,2024-05-18
549,74,10,"280-910044-00549",2019-06-06,2023-02-06,44,8538996,,8538996,MATURED,2.02,2017-05-20
551,75,7,"280-910044-00551",2024-05-18,2024-08-18,3,,99394,298182,MATURED,4.33,2024-05-18
552,76,9,"280-910044-00552",2025-05-17,2027-07-17,26,,152021,1824252,ACTIVE,2.30,2018-05-20
553,77,5,"280-910044-00553",2026-05-01,2027-05-01,12,,300000,300000,ACTIVE,4.74,2025-05-18
556,78,3,"280-910044-00556",2023-05-10,2026-04-10,35,,943866,33035310,MATURED,2.09,2006-05-23
555,78,3,"280-910044-00555",2021-07-29,2025-06-29,47,,524148,24634956,MATURED,2.09,2006-05-23
554,78,3,"280-910044-00554",2021-01-04,2022-03-04,14,,826599,11572386,MATURED,3.11,2021-05-19
557,79,10,"280-910044-00557",2024-05-18,2026-10-18,29,19942461,,19942461,ACTIVE,2.02,2024-05-18
560,80,1,"280-910044-00560",2020-01-31,2021-01-31,12,30034570,,30034570,MATURED,1.83,2018-05-20
563,81,9,"280-910044-00563",2025-05-24,2027-10-24,29,,522817,5750987,ACTIVE,2.28,2002-05-24
562,81,9,"280-910044-00562",2021-03-03,2022-08-03,17,,851440,14474480,MATURED,2.36,2017-05-20
561,81,9,"280-910044-00561",2024-11-03,2026-06-03,19,,771450,13886100,ACTIVE,2.21,2012-05-21
566,82,4,"280-910044-00566",2026-02-04,2030-01-04,47,,178296,534888,ACTIVE,2.28,2017-05-20
565,82,4,"280-910044-00565",2019-05-03,2022-09-03,40,,460714,18428560,MATURED,2.24,2017-05-20
564,82,4,"280-910044-00564",2021-05-24,2023-03-24,22,,888985,19557670,MATURED,2.12,2023-05-19
568,83,7,"280-910044-00568",2018-03-11,2019-03-11,12,,300000,3600000,MATURED,4.78,2014-05-21
567,83,7,"280-910044-00567",2020-11-02,2020-12-02,1,,218205,218205,MATURED,10.39,2014-05-21
571,84,8,"280-910044-00571",2023-10-27,2026-10-27,36,,225182,6980642,ACTIVE,5.83,2020-05-19
570,84,8,"280-910044-00570",2020-10-30,2023-10-30,36,,300000,10800000,MATURED,5.68,2023-05-19
569,84,8,"280-910044-00569",2020-05-19,2023-05-19,36,,300000,10800000,MATURED,5.83,2020-05-19
574,85,8,"280-910044-00574",2023-05-19,2026-05-19,36,,100000,3600000,ACTIVE,5.64,2023-05-19
573,85,8,"280-910044-00573",2023-05-19,2026-05-19,36,,100000,3600000,ACTIVE,5.98,2025-05-18
572,85,8,"280-910044-00572",2024-03-18,2027-03-18,36,,100000,2600000,ACTIVE,5.67,2024-05-18
575,86,2,"280-910044-00575",2025-05-18,2030-05-18,60,,200000,2400000,ACTIVE,4.81,2025-05-18
576,87,6,"280-910044-00576",2020-07-25,2021-07-25,12,,383771,4605252,MATURED,5.27,2019-05-20
577,88,4,"280-910044-00577",2018-05-23,2019-08-23,15,,782603,11739045,MATURED,3.14,2006-05-23
580,89,3,"280-910044-00580",2025-05-19,2028-06-19,37,,199273,2391276,ACTIVE,2.57,2023-05-19
579,89,3,"280-910044-00579",2020-02-25,2021-08-25,18,,397285,7151130,MATURED,2.23,2024-05-18
578,89,3,"280-910044-00578",2024-12-30,2028-02-29,38,,524051,8384816,ACTIVE,3.00,2014-05-21
585,90,4,"280-910044-00585",2020-12-16,2025-05-16,53,,903019,47860007,MATURED,3.40,2015-05-21
584,90,4,"280-910044-00584",2024-10-14,2026-05-14,19,,934040,17746760,MATURED,3.30,2018-05-20
587,91,4,"280-910044-00587",2018-01-21,2021-01-21,36,,722573,26012628,MATURED,2.70,2014-05-21
586,91,4,"280-910044-00586",2025-06-12,2028-07-12,37,,607183,6679013,CLOSED,2.44,2016-05-20
588,92,6,"280-910044-00588",2025-07-09,2027-03-09,20,,500000,5000000,ACTIVE,3.97,2020-05-19
589,93,1,"280-910044-00589",2025-02-14,2027-07-14,29,11871893,,11871893,ACTIVE,2.16,2010-05-22
590,94,5,"280-910044-00590",2017-05-05,2018-05-05,12,,204458,2453496,MATURED,3.17,2019-05-20
592,95,7,"280-910044-00592",2021-04-10,2022-02-10,10,,300000,3000000,MATURED,7.31,2009-05-22
591,95,7,"280-910044-00591",2017-03-30,2017-05-30,2,,300000,600000,MATURED,9.08,2009-05-22
593,96,7,"280-910044-00593",2017-11-30,2018-12-30,13,,300000,3900000,MATURED,6.29,2004-05-23
595,97,10,"280-910044-00595",2024-04-28,2026-07-28,27,32509726,,32509726,ACTIVE,1.75,2025-05-18
594,97,10,"280-910044-00594",2023-05-19,2027-11-19,54,31869402,,31869402,ACTIVE,1.47,2023-05-19
598,98,9,"280-910044-00598",2021-11-27,2023-10-27,23,,200466,4610718,MATURED,2.32,2022-05-19
597,98,9,"280-910044-00597",2023-01-05,2024-05-05,16,,248212,3971392,MATURED,2.55,2019-05-20
596,98,9,"280-910044-00596",2024-09-15,2026-11-15,26,,219256,4385120,ACTIVE,2.27,2024-05-18
600,99,5,"280-910044-00600",2025-04-11,2026-04-11,12,,300000,3600000,MATURED,3.48,2018-05-20
599,99,5,"280-910044-00599",2023-12-30,2024-12-30,12,,300000,3600000,MATURED,4.78,2018-05-20
5,100,10,"280-910044-00005",2017-02-25,2018-12-25,22,42481332,,42481332,MATURED,1.91,2008-05-22
7,101,2,"280-910044-00007",2018-07-23,2019-07-23,12,,200000,2400000,MATURED,4.85,2020-05-19
6,101,2,"280-910044-00006",2019-11-15,2024-04-15,53,,200000,10600000,MATURED,4.48,2025-05-18
9,102,8,"280-910044-00009",2025-05-14,2028-05-14,36,,300000,3600000,ACTIVE,5.88,2021-05-19
8,102,8,"280-910044-00008",2024-06-24,2027-06-24,36,,300000,6900000,ACTIVE,5.97,2023-05-19
13,103,8,"280-910044-00013",2016-12-17,2019-12-17,36,,144285,5194260,MATURED,5.71,2008-05-22
12,103,8,"280-910044-00012",2025-02-07,2028-02-07,36,,300000,4500000,ACTIVE,5.95,2011-05-22
11,103,8,"280-910044-00011",2019-11-18,2022-11-18,36,,300000,10800000,MATURED,5.63,2023-05-19
10,103,8,"280-910044-00010",2017-06-26,2020-06-26,36,,300000,10800000,MATURED,5.85,2018-05-20
15,104,8,"280-910044-00015",2022-12-04,2025-12-04,36,,300000,10800000,MATURED,5.72,2021-05-19
14,104,8,"280-910044-00014",2018-02-08,2021-02-08,36,,114861,4134996,MATURED,5.84,2008-05-22
17,105,2,"280-910044-00017",2025-07-12,2028-07-12,36,,200000,2000000,CLOSED,4.75,2024-05-18
16,105,2,"280-910044-00016",2024-05-18,2029-05-18,60,,200000,4800000,ACTIVE,4.50,2024-05-18
18,106,10,"280-910044-00018",2022-07-31,2027-03-31,56,21288842,,21288842,ACTIVE,2.15,2012-05-21
19,107,4,"280-910044-00019",2023-09-04,2026-04-04,31,,196749,6099219,MATURED,3.12,2025-05-18
22,108,4,"280-910044-00022",2025-05-18,2030-11-18,66,,61179,734148,ACTIVE,2.36,2025-05-18
21,108,4,"280-910044-00021",2025-05-18,2028-06-18,37,,53785,645420,ACTIVE,2.27,2025-05-18
20,108,4,"280-910044-00020",2025-05-18,2029-11-18,54,,64741,776892,ACTIVE,2.14,2025-05-18
23,109,10,"280-910044-00023",2021-07-22,2023-01-22,18,3687416,,3687416,MATURED,1.97,2004-05-23
25,110,1,"280-910044-00025",2024-05-18,2027-01-18,32,10822235,,10822235,ACTIVE,2.10,2024-05-18
28,111,4,"280-910044-00028",2021-05-19,2023-08-19,27,,492487,13297149,MATURED,2.36,2021-05-19
27,111,4,"280-910044-00027",2021-05-19,2023-12-19,31,,172018,5332558,MATURED,2.22,2021-05-19
26,111,4,"280-910044-00026",2021-05-19,2023-11-19,30,,290482,8714460,MATURED,2.11,2021-05-19
30,112,5,"280-910044-00030",2024-10-09,2025-10-09,12,,300000,3600000,MATURED,3.97,2022-05-19
29,112,5,"280-910044-00029",2025-09-16,2026-09-16,12,,300000,2400000,ACTIVE,3.59,2020-05-19
33,113,10,"280-910044-00033",2018-01-13,2020-05-13,28,49849141,,49849141,MATURED,1.55,2012-05-21
32,113,10,"280-910044-00032",2017-10-28,2020-03-28,29,30121115,,30121115,MATURED,1.78,2010-05-22
31,113,10,"280-910044-00031",2022-11-26,2023-07-26,8,42623822,,42623822,MATURED,2.16,2014-05-21
35,114,7,"280-910044-00035",2020-08-24,2022-03-24,19,,300000,5700000,MATURED,8.89,2012-05-21
34,114,7,"280-910044-00034",2019-01-04,2019-03-04,2,,124168,248336,MATURED,6.45,2012-05-21
37,115,5,"280-910044-00037",2023-02-12,2024-02-12,12,,300000,3600000,MATURED,4.11,2023-05-19
36,115,5,"280-910044-00036",2021-01-15,2022-01-15,12,,300000,3600000,MATURED,2.66,2015-05-21
38,116,1,"280-910044-00038",2026-01-03,2027-10-03,21,51362892,,51362892,CLOSED,2.00,2022-05-19
40,117,8,"280-910044-00040",2026-01-04,2029-01-04,36,,300000,1200000,ACTIVE,5.77,2012-05-21
39,117,8,"280-910044-00039",2016-09-10,2019-09-10,36,,300000,10800000,MATURED,5.99,2012-05-21
44,118,3,"280-910044-00044",2016-10-19,2017-10-19,12,,243231,2918772,MATURED,2.22,2012-05-21
43,118,3,"280-910044-00043",2024-08-10,2030-07-10,71,,695507,14605647,ACTIVE,1.60,2012-05-21
42,118,3,"280-910044-00042",2020-04-11,2021-10-11,18,,280188,5043384,MATURED,1.76,2012-05-21
41,118,3,"280-910044-00041",2020-10-22,2023-06-22,32,,718604,22995328,MATURED,2.27,2021-05-19
46,119,10,"280-910044-00046",2023-05-19,2023-08-19,3,12143109,,12143109,MATURED,2.10,2023-05-19
45,119,10,"280-910044-00045",2023-05-19,2024-06-19,13,42780326,,42780326,MATURED,2.13,2023-05-19
51,120,7,"280-910044-00051",2022-09-25,2024-05-25,20,,222652,4453040,MATURED,7.18,2007-05-23
50,120,7,"280-910044-00050",2024-01-02,2024-08-02,7,,292649,2048543,MATURED,9.81,2007-05-23
49,120,7,"280-910044-00049",2021-08-17,2022-02-17,6,,230976,1385856,MATURED,4.94,2011-05-22
52,121,5,"280-910044-00052",2019-12-26,2020-12-26,12,,298614,3583368,MATURED,4.63,2008-05-22
54,122,6,"280-910044-00054",2017-01-10,2018-05-10,16,,500000,8000000,MATURED,3.42,2023-05-19
53,122,6,"280-910044-00053",2018-03-12,2019-04-12,13,,500000,6500000,MATURED,5.35,2011-05-22
57,123,9,"280-910044-00057",2024-03-23,2027-03-23,36,,186088,4838288,ACTIVE,2.60,2020-05-19
56,123,9,"280-910044-00056",2024-09-17,2025-07-17,10,,82096,820960,MATURED,2.42,2020-05-19
55,123,9,"280-910044-00055",2020-05-19,2021-08-19,15,,272848,4092720,MATURED,2.38,2025-05-18
60,124,9,"280-910044-00060",2024-05-18,2025-10-18,17,,108204,1839468,MATURED,2.21,2024-05-18
59,124,9,"280-910044-00059",2024-05-31,2025-04-30,11,,190271,2092981,MATURED,2.42,2024-05-18
58,124,9,"280-910044-00058",2025-03-06,2026-12-06,21,,150811,2111354,ACTIVE,2.66,2024-05-18
61,125,5,"280-910044-00061",2024-08-29,2025-08-29,12,,300000,3600000,MATURED,3.99,2025-05-18
64,126,3,"280-910044-00064",2017-08-03,2022-03-03,55,,163533,8994315,MATURED,2.50,2009-05-22
63,126,3,"280-910044-00063",2025-05-01,2028-10-01,41,,268359,3220308,ACTIVE,2.46,2007-05-23
62,126,3,"280-910044-00062",2024-01-12,2029-11-12,70,,688481,19277468,ACTIVE,1.72,2014-05-21
67,127,4,"280-910044-00067",2022-04-26,2026-01-26,45,,963677,43365465,MATURED,2.63,2016-05-20
66,127,4,"280-910044-00066",2016-10-29,2018-09-29,23,,621169,14286887,MATURED,3.16,2009-05-22
65,127,4,"280-910044-00065",2020-11-12,2021-08-12,9,,332115,2989035,MATURED,3.25,2023-05-19
70,128,8,"280-910044-00070",2022-05-19,2025-05-19,36,,300000,10800000,MATURED,5.90,2022-05-19
69,128,8,"280-910044-00069",2024-12-01,2027-12-01,36,,113520,1929840,CLOSED,5.72,2022-05-19
